account_code,account_name,account_name2,level,parent,group,acctype,status
10000,Assets,Assets,1,,1,1,A
11000,Current Assets,Current Assets,2,10000,1,1,A
11100,Cash on Hand and at Banks,Cash on Hand and at Banks,3,11000,1,1,A
11110,Cash on Hand,Cash on Hand,4,11100,1,0,A
11130,Current Account,Current Account,4,11100,1,1,A
11131,C/A,C/A,5,11130,1,0,A
11140,Savings Account,Savings Account,4,11100,1,1,A
11141,S/A Kasikorn 700-2-41094-4 LOTUS AMATA,S/A Kasikorn 700-2-41094-4,5,11140,1,0,A
11150,Account for Bank Transfer,Account for Bank Transfer,4,11100,1,1,A
11151,Account for Bank Transfer,Account for Bank Transfer,5,11150,1,0,A
11200,Short Term Investment,Short Term Investment,3,11000,1,0,A
11300,Accounts and Notes Receivable,Accounts and Notes Receivable,3,11000,1,1,A
11310,Accounts Receivable Trade,Accounts Receivable Trade,4,11300,1,0,A
11330,Post-dated cheques Received,Post-dated cheques Received,4,11300,1,0,A
11340,Allowance for Doubtful Accounts,Allowance for Doubtful Accounts,4,11300,1,0,A
11320,Other Receivables,Other Receivables,4,11300,1,0,A
11400,Inventories,Inventories,3,11000,1,1,A
11410,Finished Goods,Finished Goods,4,11400,1,0,A
11500,Other Current Assets,Other Current Assets,3,11000,1,1,A
11510,Prepaid Expenses,Prepaid Expenses,4,11500,1,1,A
11511,Prepaid Expenses Insurance,Prepaid Expenses Insurance,5,11510,1,0,A
11514,Prepaid Corporate Tax,Prepaid Corporate Tax,5,11510,1,0,A
11512,Prepaid Expenses Rental,Prepaid Expenses Rental,5,11510,1,0,A
11513,Prepaid Expenses Interest,Prepaid Expenses Interest,5,11510,1,0,A
11520,Advance Payment,Advance Payment,4,11500,1,1,A
11530,Accrued Income,Accrued Income,4,11500,1,1,A
11531,Accrued Income Interest,Accrued Income Interest,5,11530,1,0,A
11532,Accrued Income Other,Accrued Income Other,5,11530,1,0,A
11540,Purchase Tax,Purchase Tax,4,11500,1,0,A
11550,Purchase Tax Suspense,Purchase Tax Suspense,4,11500,1,0,A
11560,A/R Revenue Dept.,A/R Revenue Dept.,4,11500,1,0,A
12000,Deposit,Deposit,2,10000,1,0,A
18000,"Property,Plant and Equipments Net","Property,Plant and Equipments Net",2,10000,1,1,A
18100,"Property, Plant and Equipments","Property, Plant and Equipments",3,18000,1,1,A
18110,Land,Land,4,18100,1,0,A
18120,Buildings,Buildings,4,18100,1,0,A
