account_code,begin_net,period_debit,period_credit,balance_net
11410,11660.8,1071768.05,991137.44,92291.41
21110,-92981.14,720585.28,627604.14,0.0
11110,46827.0,1445173.82,1476040.82,15960.0
11310,176196.9,1634492.49,1749806.39,60883.0
11330,0.0,0.0,0.0,0.0
18110,0.0,0.0,0.0,0.0
18120,0.0,0.0,0.0,0.0
18170,1375000.0,25500.0,0.0,1400500.0
18150,262267.95,154634.81,0.0,416902.76
21120,0.0,0.0,0.0,0.0
11131,0.0,0.0,0.0,0.0
31000,0.0,0.0,0.0,0.0
32000,365089.45,0.0,0.0,365089.45
18220,0.0,0.0,0.0,0.0
18250,-118088.91,0.0,66246.6,-184335.51
18270,-116780.65,0.0,278789.62,-395570.27
11540,0.0,109984.16,109984.16,0.0
51100,0.0,991137.44,0.0,991137.44
41200,0.0,0.0,222453.27,-222453.27
21440,0.0,106929.46,106929.46,-0.0
41100,0.0,0.0,1305109.76,-1305109.76
99999,0.0,0.0,0.0,0.0
11120,0.0,0.0,0.0,0.0
11141,19742.63,264963.25,284350.05,355.83
11151,0.0,0.0,0.0,0.0
11200,0.0,0.0,0.0,0.0
11340,0.0,0.0,0.0,0.0
11320,0.0,0.0,0.0,0.0
11511,0.0,22840.22,10007.94,12832.28
11514,0.0,0.0,0.0,0.0
11512,0.0,0.0,0.0,0.0
11513,0.0,0.0,0.0,0.0
11520,0.0,0.0,0.0,0.0
11531,233.56,0.0,0.0,233.56
11532,0.0,0.0,0.0,0.0
11550,96.32,566.14,467.32,195.14
11560,2866.48,42447.66,30227.15,15086.99
18160,88007.39,33280.36,0.0,121287.75
18260,-42430.86,0.0,20054.91,-62485.77
13100,0.0,0.0,0.0,0.0
13200,0.0,0.0,0.0,0.0
13300,0.0,0.0,0.0,0.0
21411,0.0,0.0,0.0,0.0
21414,0.0,0.0,0.0,0.0
21416,-10000.0,10000.0,5000.0,-5000.0
21412,0.0,0.0,0.0,0.0
21417,0.0,0.0,0.0,0.0
21418,-1119.17,1119.17,0.0,0.0
21413,0.0,0.0,0.0,0.0
21415,0.0,0.0,0.0,0.0
21419,0.0,0.0,0.0,0.0
21431,0.0,0.0,0.0,0.0
21432,-77.34,77.34,0.0,0.0
21434,0.0,0.0,0.0,0.0
21421,0.0,0.0,0.0,0.0
21422,0.0,0.0,0.0,0.0
21470,0.0,0.0,0.0,0.0
21450,0.0,0.0,0.0,0.0
21460,0.0,9442.0,9442.0,0.0
22110,0.0,0.0,0.0,0.0
23000,0.0,0.0,0.0,0.0
34000,0.0,0.0,0.0,0.0
41300,0.0,0.0,0.0,0.0
41400,0.0,0.0,0.0,0.0
42100,0.0,0.0,1216.67,-1216.67
42200,0.0,0.0,0.0,0.0
42300,0.0,0.0,57.03,-57.03
42400,0.0,0.0,0.0,0.0
42900,0.0,0.0,990.0,-990.0
52100,0.0,0.0,0.0,0.0
52200,0.0,0.0,0.0,0.0
52300,0.0,0.0,0.0,0.0
52600,0.0,0.0,0.0,0.0
52500,0.0,0.0,0.0,0.0
52400,0.0,21989.5,0.0,21989.5
52700,0.0,0.0,0.0,0.0
52800,0.0,25.0,0.0,25.0
53110,0.0,0.0,0.0,0.0
53111,0.0,0.0,0.0,0.0
53112,0.0,0.0,0.0,0.0
53114,0.0,0.0,0.0,0.0
53115,0.0,0.0,0.0,0.0
