account_code,begin_net,period_debit,period_credit,balance_net
11410,64426.52,1000431.78,1036000.3,28858.0
21110,-33501.7,450343.48,423672.66,-6830.88
11110,71445.0,387453.49,599701.02,-140802.53
11310,-0.0,1601654.91,1542132.47,59522.44
11330,0.0,0.0,0.0,0.0
18110,0.0,0.0,0.0,0.0
18120,0.0,0.0,0.0,0.0
18170,1400500.0,0.0,0.0,1400500.0
18150,512566.31,105323.88,0.0,617890.19
21120,0.0,0.0,0.0,0.0
11131,0.0,0.0,0.0,0.0
31000,0.0,0.0,0.0,0.0
32000,585459.02,0.0,0.0,585459.02
18220,0.0,0.0,0.0,0.0
18250,-269108.78,0.0,87052.14,-356160.92
18270,-675669.67,0.0,280099.4,-955769.07
11540,0.0,92319.87,89188.82,3131.05
51100,806573.5,1036000.3,0.0,1842573.8
41200,-184500.0,0.0,210060.0,-394560.0
21440,-0.0,98945.47,104781.17,-5835.7
41100,-1076928.5,0.0,1286813.74,-2363742.24
99999,0.0,0.0,0.0,0.0
11120,0.0,0.0,0.0,0.0
11141,78969.39,132650.88,168357.18,43263.09
11151,0.0,0.0,0.0,0.0
11200,0.0,0.0,0.0,0.0
11340,0.0,0.0,0.0,0.0
11320,0.0,0.0,0.0,0.0
11511,10674.47,15835.0,0.0,26509.47
11514,0.0,0.0,0.0,0.0
11512,0.0,0.0,0.0,0.0
11513,0.0,0.0,0.0,0.0
11520,0.0,0.0,0.0,0.0
11531,0.0,0.0,0.0,0.0
11532,0.0,0.0,0.0,0.0
11550,156.75,0.0,156.75,-0.0
11560,6691.39,8625.79,15317.18,0.0
18160,200804.57,0.0,0.0,200804.57
18260,-82783.15,0.0,30420.94,-113204.09
13100,0.0,0.0,0.0,0.0
13200,0.0,0.0,0.0,0.0
13300,0.0,0.0,0.0,0.0
21411,0.0,0.0,0.0,0.0
21414,0.0,0.0,0.0,0.0
21416,-5000.0,5000.0,0.0,0.0
21412,0.0,0.0,0.0,0.0
21417,0.0,0.0,0.0,0.0
21418,0.0,0.0,0.0,0.0
21413,0.0,0.0,0.0,0.0
21415,0.0,0.0,0.0,0.0
21419,0.0,0.0,0.0,0.0
21431,0.0,0.0,0.0,0.0
21432,-450.0,600.0,150.0,0.0
21434,0.0,0.0,0.0,0.0
21421,0.0,0.0,0.0,0.0
21422,0.0,0.0,0.0,0.0
21470,0.0,0.0,0.0,0.0
21450,0.0,0.0,0.0,0.0
21460,0.0,409.0,3064.65,-2655.65
22110,0.0,0.0,0.0,0.0
23000,0.0,0.0,0.0,0.0
34000,0.0,0.0,0.0,0.0
41300,0.0,0.0,0.0,0.0
41400,0.0,0.0,0.0,0.0
42100,-544.85,0.0,47.05,-591.9
42200,0.0,0.0,0.0,0.0
42300,0.0,0.0,0.0,0.0
42400,0.0,0.0,0.0,0.0
42900,-940.5,0.0,0.0,-940.5
52100,0.0,0.0,0.0,0.0
52200,0.0,0.0,0.0,0.0
52300,0.0,0.0,0.0,0.0
52600,0.0,0.0,0.0,0.0
52500,0.0,0.0,0.0,0.0
52400,7798.5,8511.0,0.0,16309.5
52700,0.0,0.0,0.0,0.0
52800,0.0,0.0,0.0,0.0
53110,0.0,0.0,0.0,0.0
53111,0.0,0.0,0.0,0.0
53112,0.0,0.0,0.0,0.0
53114,0.0,0.0,0.0,0.0
53115,0.0,0.0,0.0,0.0
53116,0.0,0.0,0.0,0.0
53117,0.0,0.0,0.0,0.0
53118,0.0,0.0,0.0,0.0
53119,0.0,0.0,0.0,0.0
53120,0.0,0.0,0.0,0.0
53121,0.0,0.0,0.0,0.0
53122,0.0,0.0,0.0,0.0
53210,20799.38,10796.42,0.0,31595.8
53211,0.0,0.0,0.0,0.0
53212,0.0,0.0,0.0,0.0
53213,0.0,0.0,0.0,0.0
53214,0.0,0.0,0.0,0.0
53215,0.0,0.0,0.0,0.0
53216,0.0,0.0,0.0,0.0
53310,12534.03,10030.75,0.0,22564.78
53320,19786.37,23905.16,0.0,43691.53
53330,3960.0,5239.21,0.0,9199.21
53340,868.0,22.0,0.0,890.0
53440,74491.31,73967.09,0.0,148458.4
53410,84773.27,87052.14,0.0,171825.41
53420,20297.38,30420.94,0.0,50718.32
53430,199999.8,199999.8,0.0,399999.6
53510,21157.34,0.0,0.0,21157.34
53610,0.0,0.0,0.0,0.0
53611,5817.6,0.0,0.0,5817.6
53612,600.0,1100.0,0.0,1700.0
53613,1259.0,195.0,0.0,1454.0
53614,5000.0,0.0,0.0,5000.0
53615,0.0,0.0,0.0,0.0
53710,0.0,0.0,0.0,0.0
53711,0.0,0.0,0.0,0.0
53712,0.0,0.0,0.0,0.0
